                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.91911,                0.81312,                 1.7632,                0.89204,                  0.883,                0.92426,                0.72767,                0.75137,                0.59277,                 1.6207,              0.0001288,              0.0001288,              0.0001288
                     90,                0.92147,                0.81136,                 1.7817,                 0.8931,                 0.8818,                0.92269,                 0.7294,                0.75234,                0.59214,                 1.6275,              0.0001189,              0.0001189,              0.0001189
                     91,                 0.6889,                0.53683,                 1.5001,                0.89581,                0.88147,                0.92325,                0.72857,                0.75646,                0.59375,                 1.6371,               0.000109,               0.000109,               0.000109
                     92,                0.68151,                0.52592,                 1.5014,                0.89157,                0.88542,                0.92204,                 0.7304,                0.75337,                0.59519,                 1.6361,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.67073,                0.51929,                 1.4813,                0.89714,                0.87749,                0.92222,                0.73185,                0.75181,                 0.5956,                 1.6367,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.67262,                0.51647,                 1.4774,                0.89801,                0.88047,                0.92282,                0.73155,                0.75086,                 0.5956,                 1.6376,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.66023,                0.51543,                 1.4744,                0.89472,                0.88533,                0.92354,                0.73346,                0.74659,                0.59405,                 1.6334,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.65747,                0.49765,                 1.4644,                0.89492,                0.88232,                0.92412,                0.73371,                0.74394,                 0.5939,                 1.6313,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.65146,                0.49994,                 1.4595,                0.89609,                0.88543,                0.92553,                 0.7344,                0.74496,                 0.5925,                 1.6305,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.64901,                0.49497,                 1.4437,                0.89746,                0.88322,                 0.9257,                0.73602,                0.74338,                 0.5926,                 1.6289,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.64456,                 0.4897,                 1.4526,                0.89413,                0.88487,                0.92592,                0.73691,                0.74301,                0.59287,                 1.6294,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.64111,                0.49072,                 1.4414,                0.89157,                0.88811,                0.92603,                0.73716,                0.74336,                 0.5921,                 1.6292,               1.99e-05,               1.99e-05,               1.99e-05
